epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,218.7,0.73434,0.43016,0.89511,0.97436,0.98393,0.99184,0.84874,0.53891,0.26412,0.84866,0.004456,0.004456,0.004456
86,417.334,0.74601,0.43943,0.89614,0.97182,0.98578,0.99196,0.84788,0.5392,0.2645,0.84868,0.00439,0.00439,0.00439
87,612.74,0.74585,0.43691,0.89745,0.97075,0.98603,0.9919,0.84718,0.53777,0.264,0.84886,0.004324,0.004324,0.004324
88,809.939,0.74491,0.43532,0.89653,0.97234,0.98432,0.99179,0.84796,0.53607,0.26337,0.84834,0.004258,0.004258,0.004258
89,1008.51,0.73984,0.43465,0.89519,0.97177,0.98601,0.99191,0.84895,0.53572,0.2628,0.84786,0.004192,0.004192,0.004192
90,1203.52,0.74751,0.43465,0.89569,0.97501,0.98154,0.99172,0.8483,0.53593,0.26285,0.84765,0.004126,0.004126,0.004126
91,1398.43,0.7379,0.43295,0.89329,0.97691,0.98133,0.99182,0.8494,0.53581,0.26257,0.84738,0.00406,0.00406,0.00406
92,1594.97,0.73918,0.43334,0.89338,0.97833,0.97918,0.99163,0.8501,0.53427,0.26269,0.84671,0.003994,0.003994,0.003994
93,1788.95,0.72715,0.42763,0.8929,0.97353,0.98281,0.99154,0.84995,0.53321,0.26263,0.84657,0.003928,0.003928,0.003928
94,1984.91,0.72776,0.42553,0.89096,0.97405,0.98281,0.9916,0.85091,0.53099,0.26198,0.84625,0.003862,0.003862,0.003862
95,2178.35,0.72518,0.42223,0.89148,0.9737,0.98431,0.99169,0.851,0.5302,0.26099,0.8461,0.003796,0.003796,0.003796
96,2371.62,0.72346,0.42546,0.88999,0.9727,0.98576,0.99173,0.85199,0.52777,0.25983,0.84538,0.00373,0.00373,0.00373
97,2565.77,0.72493,0.4211,0.88973,0.97963,0.97928,0.99191,0.85318,0.52695,0.25957,0.84501,0.003664,0.003664,0.003664
98,2758.43,0.72173,0.42434,0.8914,0.97602,0.98159,0.99201,0.85406,0.52614,0.25929,0.84486,0.003598,0.003598,0.003598
99,2949.52,0.71265,0.41965,0.88807,0.97481,0.98354,0.99204,0.85417,0.52385,0.25839,0.84431,0.003532,0.003532,0.003532
100,3143.47,0.70465,0.41301,0.88537,0.97494,0.98401,0.99204,0.85409,0.52218,0.25738,0.84411,0.003466,0.003466,0.003466
101,3336.9,0.70548,0.41365,0.88292,0.9756,0.98452,0.99213,0.85516,0.51995,0.25651,0.84366,0.0034,0.0034,0.0034
102,3532.91,0.69744,0.41524,0.88676,0.97827,0.98138,0.9921,0.85562,0.51812,0.25532,0.84324,0.003334,0.003334,0.003334
103,3725.32,0.70364,0.41158,0.88302,0.97884,0.98069,0.99216,0.85637,0.51629,0.25463,0.84292,0.003268,0.003268,0.003268
